url;name;country;price;color;taste;yearPos;usdPrice;colorFac
http://winestyle.ru/products/Cuvee-des-Enchanteleurs-1998.html;"Cuvee des Enchanteleurs", 1998;France;23806;white;dry;1998;331;white
http://winestyle.ru/products/Dom-Ruinart-Rose-2002-coffret.html;"Dom Ruinart" Rose, 2002, in gift box;France;24737;rose;dry;2002;344;rose
http://winestyle.ru/products/Noble-Cuvee-de-Lanson-Brut-1995-wooden-box.html;"Noble Cuvee de Lanson" Brut, 1995, wooden box, 1500 ìë;France;26016;white;dry;1995;361;white
http://winestyle.ru/products/Dom-Perignon-Rose-Vintage-2003-Brut-in-gift-box.html;"Dom Perignon", Rose Vintage 2003 Brut, in gift box;France;28404;rose;dry;2003;394;rose
http://winestyle.ru/products/Armand-de-Brignac-Brut-Rose-wooden-box.html;"Armand de Brignac" Brut Rose, wooden box;France;37810;rose;dry;NA;525;rose
http://winestyle.ru/products/Cristal-Rose-AOC-2005-gift-box.html;"Cristal" Rose AOC, 2005, gift box;France;41273;rose;dry;2005;573;rose
http://winestyle.ru/products/Novy-Svet-NovoSvetskoe-Rose-semi-dry.html;Novy Svet, "NovoSvetskoe" Rose semi-dry;Crimea;714;rose;semi dry;NA;10;rose
http://winestyle.ru/products/Novy-Svet-Crimean-sparkling-red-brut.html;Novy Svet, "Crimean sparkling" red, brut;Crimea;714;red;dry;NA;10;red
http://winestyle.ru/products/Ca-Montebello-Moscato-Oltrepo-Pavese-DOC-2013.html;Ca' Montebello, Moscato, Oltrepo Pavese DOC, 2013;Italy;730;white;sweet;2013;10;white
http://winestyle.ru/products/Ca-Montebello-Riesling-Oltrepo-Pavese-DOC-2013.html;Ca' Montebello, Riesling, Oltrepo Pavese DOC, 2013;Italy;730;white;dry;2013;10;white
http://winestyle.ru/products/Faber-Finesse-dry.html;"Faber" Finesse dry;Germany;756;white;dry;NA;10;white
http://winestyle.ru/products/Riccadonna-Spumante-Dolce-Asti-DOCG.html;Riccadonna, Spumante Dolce, Asti DOCG;Italy;886;white;sweet;NA;12;white
http://winestyle.ru/products/Cantina-di-Canelli-Dacanelli-Extra-Dry.html;Cantina di Canelli, "Dacanelli" Extra Dry;Italy;820;white;dry;NA;11;white
http://winestyle.ru/products/Canti-Asti-DOCG-2015-gift-box.html;Canti, Asti DOCG, 2015, gift box;Italy;891;white;sweet;2015;12;white
http://winestyle.ru/products/Cantina-di-Canelli-Duebollicine-Pinot-Chardonnay.html;Cantina di Canelli, "Duebollicine" Pinot Chardonnay;Italy;867;white;dry;NA;12;white
http://winestyle.ru/products/Batasiolo-Moscato-Spumante-Dolce.html;Batasiolo, Moscato Spumante Dolce;Italy;953;white;sweet;NA;13;white
http://winestyle.ru/products/Morando-Il-Mossiere-Moscato-Spumante.html;Morando, "Il Mossiere" Moscato Spumante;Italy;912;white;sweet;NA;13;white
http://winestyle.ru/products/Cinzano-Pinot-Chardonnay.html;Cinzano, Pinot Chardonnay;Italy;955;white;dry;NA;13;white
http://winestyle.ru/products/Schlumberger-Rose-Brut-gift-box.html;Schlumberger, Rose Brut, gift box;Austria;955;rose;dry;NA;13;rose
http://winestyle.ru/products/Perlino-Asti-DOCG.html;Perlino, Asti DOCG;Italy;958;white;sweet;NA;13;white
http://winestyle.ru/products/Canti-Asti-DOCG-2012.html;Canti, Asti DOCG, 2012;Italy;1002;white;sweet;2012;14;white
http://winestyle.ru/products/Canti-Asti-DOCG-2014.html;Canti, Asti DOCG, 2014;Italy;1002;white;sweet;2014;14;white
http://winestyle.ru/products/Michel-Torino-Rose-Brut.html;"Michel Torino" Rose Brut;Argentina;1008;rose;dry;NA;14;rose
http://winestyle.ru/products/La-Gioiosa-Rosea-Rose-Brut.html;"La Gioiosa" Rosea Rose Brut;Italy;1056;rose;dry;NA;15;rose
http://winestyle.ru/products/Morando-Il-Mossiere-Prosecco-Extra-Dry.html;Morando, "Il Mossiere" Prosecco Extra Dry;Italy;1012;white;dry;NA;14;white
http://winestyle.ru/products/Perlino-Asti-DOCG-gift-box.html;Perlino, Asti DOCG, gift box;Italy;1064;white;sweet;NA;15;white
http://winestyle.ru/products/Fantinel-One-and-Only-Prosecco-Brut-Millesimato-2014.html;Fantinel, "One and Only" Prosecco Brut Millesimato, 2014;Italy;1520;not assigned;dry;2014;21;not assigned
http://winestyle.ru/products/Andreola-Cartizze-Valdobbiadene-Superiore-di-Cartizze-DOCG-2011.html;Andreola, Cartizze, Valdobbiadene Superiore di Cartizze DOCG, 2011;Italy;1560;white;dry;2011;22;white
http://winestyle.ru/products/Canella-Prosecco-DOC.html;Canella, Prosecco DOC;Italy;1581;white;dry;NA;22;white
http://winestyle.ru/products/Cavas-Hill-Cava-Brut-DO.html;Cavas Hill, Cava Brut DO;Spain;1588;white;dry;NA;22;white
http://winestyle.ru/products/Bernard-Massard-Cuvee-de-l-Ecusson-Brut.html;Bernard-Massard, "Cuvee de l'Ecusson" Brut;Luxemburg;1673;white;dry;NA;23;white
http://winestyle.ru/products/Nino-Franco-Faive-Rose-Brut-Veneto-IGT-2011.html;Nino Franco, "Faive" Rose Brut, Veneto IGT, 2011;Italy;1730;rose;dry;2011;24;rose
http://winestyle.ru/products/Nino-Franco-Faive-Rose-Brut-Veneto-IGT-2013.html;Nino Franco, "Faive" Rose Brut, Veneto IGT, 2013;Italy;1730;rose;dry;2013;24;rose
